date,daily_revenue
2022-07-11,352.72
2022-07-12,433.24
2022-07-13,265.78999999999996
2022-07-14,210.84
2022-07-15,286.35999999999996
2022-07-16,207
2022-07-17,71.34
2022-07-18,261.52
2022-07-19,119.88
2022-07-20,159.06
2022-07-21,187.26000000000002
2022-07-22,261.15999999999997
2022-07-23,472.88
2022-07-24,275.1
2022-07-25,334.08
2022-07-26,173.08
2022-07-27,257.71999999999997
2022-07-28,247.35000000000002
2022-07-29,276.91
2022-07-30,357.5
2022-07-31,149.59
2022-08-01,128.57999999999998
2022-08-02,93.15
2022-08-03,275.76
2022-08-04,197.54
2022-08-05,249.59999999999997
2022-08-06,144.35
2022-08-07,121.28999999999999
2022-08-08,388.5
2022-08-09,280.83
2022-08-10,238.3
2022-08-11,277.22
2022-08-12,86.94
2022-08-13,204.76999999999998
2022-08-14,381.93000000000006
2022-08-15,239.86
2022-08-16,459.6
2022-08-17,43.2
2022-08-18,146.41
2022-08-19,336.31
2022-08-20,231.96
2022-08-21,147.02999999999997
2022-08-22,175.62
2022-08-23,184.51999999999998
2022-08-24,226.88
2022-08-25,48.25
2022-08-26,180.05
2022-08-27,225.12
2022-08-28,477.55
2022-08-29,195.75
2022-08-30,180.45
2022-08-31,472.35
2022-09-01,264.14
2022-09-02,319.5
2022-09-03,305.08
2022-09-04,202.9
2022-09-05,259.19
2022-09-06,66.5
2022-09-07,217.65
2022-09-08,83.17
2022-09-09,354.18
2022-09-10,297.03999999999996
2022-09-11,191.6
2022-09-12,108.12
2022-09-13,197.86
2022-09-14,509.88
2022-09-15,632.19
2022-09-16,603.4
2022-09-17,492.28
2022-09-18,282.33
2022-09-19,369.77
2022-09-20,435.48
2022-09-21,545.27
2022-09-22,499.86
2022-09-23,440.04
2022-09-24,458.62
2022-09-25,411.72
2022-09-26,258.88
2022-09-27,396.1
2022-09-28,571.5699999999999
2022-09-29,252.87
2022-09-30,425.84
2022-10-01,530.92
2022-10-02,199.39
2022-10-03,305.85
2022-10-04,108.60000000000001
2022-10-05,230.52
2022-10-06,379.2
2022-10-07,335.88
2022-10-08,299.95
2022-10-09,662.3299999999999
2022-10-10,97.84
2022-10-11,411.53999999999996
2022-10-12,135.87
2022-10-13,125.49
2022-10-14,44.62
2022-10-15,121.27
2022-10-16,416.13
2022-10-17,307.57
2022-10-18,351.88
2022-10-19,391.01
2022-10-20,502.77000000000004
2022-10-21,412.78000000000003
2022-10-22,194.39
2022-10-23,343.12
2022-10-24,512.36
2022-10-25,146.28
2022-10-26,103.03999999999999
2022-10-27,128.41
2022-10-28,266.5
2022-10-29,584.24
2022-10-30,40.44
2022-10-31,197.38000000000002
2022-11-01,268.35
2022-11-02,347.76
2022-11-03,267.15000000000003
2022-11-04,100.78
2022-11-05,118.44
2022-11-06,106.35
2022-11-07,181.62
2022-11-08,399.88
2022-11-09,336.6
2022-11-10,390.46000000000004
2022-11-11,328.71000000000004
2022-11-12,268.78000000000003
2022-11-13,511.06
2022-11-14,344.51
2022-11-15,193.23000000000002
2022-11-16,379.71999999999997
2022-11-17,356.09000000000003
2022-11-18,118.79
2022-11-19,188.73
2022-11-20,453
2022-11-21,329.6
2022-11-22,205.82999999999998
2022-11-23,109.2
2022-11-24,359.92
2022-11-25,400.09
2022-11-26,102.9
2022-11-27,217.29000000000002
2022-11-28,182.22
2022-11-29,191.26999999999998
2022-11-30,133.79
2022-12-01,161.19
2022-12-02,334.87
2022-12-03,298.4
2022-12-04,171.79999999999998
2022-12-05,125.43
2022-12-06,286.39
2022-12-07,148.44
2022-12-08,249.3
2022-12-09,209.06
2022-12-10,249.29
2022-12-11,162.07
2022-12-12,516.1800000000001
2022-12-13,232.18
2022-12-14,462.30000000000007
2022-12-15,258.09999999999997
2022-12-16,126.86000000000001
2022-12-17,250.93
2022-12-18,250.10000000000002
2022-12-19,37.800000000000004
2022-12-20,271.24
2022-12-21,169.32
2022-12-22,414.14
2022-12-23,275.32
2022-12-24,362.48
2022-12-25,173.60000000000002
2022-12-26,84.72
2022-12-27,503.24
2022-12-28,298.3
2022-12-29,94.78
2022-12-30,350.24
2022-12-31,195.29999999999998
2023-01-01,183.62
2023-01-02,273.62
2023-01-03,177.97
2023-01-04,184.95999999999998
2023-01-05,264.6
2023-01-06,290.63
2023-01-07,298.96
2023-01-08,387.3
2023-01-09,403.90999999999997
2023-01-10,80.69
2023-01-11,174.66
2023-01-12,72.08
2023-01-13,54.900000000000006
2023-01-14,32.199999999999996
2023-01-15,154.89
2023-01-16,226.52999999999997
2023-01-17,339.68
2023-01-18,352.48
2023-01-19,258.94
2023-01-20,167.27
2023-01-21,485.6
2023-01-22,251.95999999999998
2023-01-23,106.8
2023-01-24,121.5
2023-01-25,146.44
2023-01-26,274.32
2023-01-27,225.94
2023-01-28,214.31
2023-01-29,711.78
2023-01-30,316.87
2023-01-31,228.07
2023-02-01,138.88
2023-02-02,216.06
2023-02-03,128.58
2023-02-04,94.08
2023-02-05,228
2023-02-06,157.63
2023-02-07,371.69000000000005
